Tiker,open,high,low,closing
GPC,41.050943396226415,41.410378616352205,40.62691572327044,41.05849056603774
GPS,21.190974842767293,21.46153459119497,20.899113836477987,21.17743710691824
GR,69.1288710691824,69.98331383647799,68.31255849056603,69.24779874213836
GS,154.49279874213838,156.34583333333333,152.2155817610063,154.1460220125786
GT,12.703081761006288,12.936227672955976,12.414614465408805,12.657169811320754
GWW,105.41616352201257,106.49836603773585,104.40172641509434,105.60647798742139
HAL,29.517672955974845,30.04810062893082,28.934301886792454,29.505094339622644
HAR,38.038836477987424,38.728838993710696,37.3231962264151,38.05069182389937
HAS,38.497286792452826,38.962922012578616,38.03268805031446,38.5425786163522
HBAN,5.579058441558441,5.701421428571429,5.451349350649351,5.574766233766234
HCBK,13.151886792452832,13.27741572327044,13.001641509433963,13.142383647798743
HCN,43.71377358490566,44.138724528301886,43.21293333333333,43.704842767295595
HCP,31.955789937106918,32.40528301886792,31.546249056603777,32.02314465408805
HD,31.015220125786165,31.343688679245282,30.673988050314467,31.01993710691824
HES,57.99286163522012,58.705115094339625,57.090408805031444,57.94540880503145
HIG,25.19496855345912,25.620654716981132,24.68792578616352,25.157169811320752
HNZ,45.2025786163522,45.48157169811321,44.84193018867924,45.21811320754717
HOG,27.441572327044025,27.908558490566037,26.931688050314463,27.4488679245283
HON,42.46471698113208,42.931920125786164,41.975767295597485,42.484716981132074
HOT,44.38374213836478,45.143562893081764,43.55624716981132,44.44025157232704
HP,39.31454545454546,39.9244438016529,38.57455867768595,39.25917355371901
HPQ,48.99344402515723,49.45921635220126,48.41295597484277,48.91940251572327
HRB,17.56691823899371,17.751996226415095,17.323930817610062,17.54119496855346
HRL,41.06861635220125,41.34851194968554,40.78166352201258,41.11477987421384
HRS,46.59122641509434,47.144301886792455,45.9438679245283,46.57201257861635
HSP,53.858730188679246,54.378625157232705,53.29386100628931,53.88308176100629
HST,13.73003144654088,13.989496855345912,13.470423899371069,13.742955974842769
HSY,44.298077358490566,44.71037044025157,43.90188050314465,44.36968553459119
HUM,47.07830188679245,47.73176352201258,46.41968176100629,47.12270440251572
IBM,127.75688679245283,128.8100396226415,126.80455031446542,127.89389937106918
ICE,109.67905660377359,111.24421320754718,107.96695849056604,109.56135220125786
IFF,44.94877358490566,45.412594968553464,44.49963522012579,45.00528301886793
IGT,18.178522012578618,18.484319496855345,17.850142138364777,18.158176100628932
INTC,21.23945512820513,21.45885512820513,20.951771153846153,21.21085512820513
INTU,34.793238993710695,35.18282955974843,34.47399685534591,34.88913522012579
IP,24.61264150943396,25.05667924528302,24.1058786163522,24.574591194968555
IPG,8.019182389937107,8.242437106918238,7.859604402515724,8.02308176100629
IRM,24.595408805031447,24.843822012578617,24.299509433962264,24.574088050314465
ISRG,336.4589423076923,340.9301891025641,331.458057051282,336.31560897435895
ITT,50.03050314465409,50.534652830188676,49.47104150943396,50.043144654088046
ITW,46.09874213836478,46.558696855345914,45.55435220125786,46.058238993710695
IVZ,20.158427672955977,20.482848427672955,19.774049056603776,20.135723270440252
JAVA,9.4128125,9.43125,9.401875,9.42125
JBL,15.179496855345912,15.408370440251572,14.846105660377358,15.123207547169812
JCI,30.02225471698113,30.410641509433965,29.52433773584906,29.979874213836478
JCP,26.88295597484277,27.293004402515724,26.385610062893083,26.838490566037734
JDSU,10.842006369426752,11.06674203821656,10.592536305732484,10.84562229299363
JEC,41.05845911949685,41.61856289308176,40.42037798742139,41.03761006289308
JNJ,62.24270440251573,62.58708238993711,61.773119496855344,62.191006289308184
JNPR,27.284591194968552,27.673839622641506,26.878948427672956,27.328993710691826
JNS,12.205723270440252,12.423621383647799,11.961053459119496,12.19251572327044
JPM,41.070188679245284,41.56551320754717,40.46600188679245,41.018050314465405
