<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сбербанк;1;01.09.2021;10:17:00;329,27;329,33;329,14;329,2;2811;0
Сбербанк;1;01.09.2021;10:18:00;329,14;329,61;329,06;329,46;5008;0
Сбербанк;1;01.09.2021;10:19:00;329,51;329,68;329,4;329,54;4011;0
Сбербанк;1;01.09.2021;10:20:00;329,55;329,64;329,55;329,58;541;0
Сбербанк;1;01.09.2021;10:21:00;329,58;329,91;329,58;329,85;33067;0
Сбербанк;1;01.09.2021;10:22:00;329,85;329,95;329,81;329,9;2548;0
Сбербанк;1;01.09.2021;10:23:00;329,9;329,91;329,57;329,59;3250;0
Сбербанк;1;01.09.2021;10:24:00;329,64;329,66;329,47;329,62;1301;0
Сбербанк;1;01.09.2021;10:25:00;329,63;329,67;329,5;329,6;1623;0
Сбербанк;1;01.09.2021;10:26:00;329,6;329,6;329,41;329,42;1321;0
Сбербанк;1;01.09.2021;10:27:00;329,47;329,51;329,41;329,45;336;0
Сбербанк;1;01.09.2021;10:28:00;329,45;329,6;329,43;329,6;981;0
Сбербанк;1;01.09.2021;10:29:00;329,6;329,66;329,45;329,56;963;0
Сбербанк;1;01.09.2021;10:30:00;329,59;329,85;329,59;329,73;4228;0
Сбербанк;1;01.09.2021;10:31:00;329,73;329,76;329,56;329,69;1057;0
Сбербанк;1;01.09.2021;10:32:00;329,67;329,71;329,61;329,62;428;0
Сбербанк;1;01.09.2021;10:33:00;329,6;329,66;329,5;329,66;469;0
Сбербанк;1;01.09.2021;10:34:00;329,66;329,72;329,41;329,52;1400;0
Сбербанк;1;01.09.2021;10:35:00;329,54;329,56;329,3;329,56;1630;0
Сбербанк;1;01.09.2021;10:36:00;329,57;329,79;329,54;329,79;842;0
Сбербанк;1;01.09.2021;10:37:00;329,79;329,9;329,76;329,83;17841;0
Сбербанк;1;01.09.2021;10:38:00;329,84;329,84;329,7;329,71;2685;0
Сбербанк;1;01.09.2021;10:39:00;329,71;329,8;329,61;329,8;992;0
Сбербанк;1;01.09.2021;10:40:00;329,8;329,8;329,77;329,79;469;0
Сбербанк;1;01.09.2021;10:41:00;329,77;329,79;329,71;329,78;1030;0
Сбербанк;1;01.09.2021;10:42:00;329,79;329,9;329,67;329,77;10237;0
Сбербанк;1;01.09.2021;10:43:00;329,77;329,8;329,67;329,79;115;0
Сбербанк;1;01.09.2021;10:44:00;329,79;329,79;329,56;329,59;214;0
Сбербанк;1;01.09.2021;10:45:00;329,59;329,63;329,46;329,53;2052;0
Сбербанк;1;01.09.2021;10:46:00;329,47;329,51;329,28;329,28;2193;0
Сбербанк;1;01.09.2021;10:47:00;329,28;329,52;329,21;329,48;16516;0
Сбербанк;1;01.09.2021;10:48:00;329,48;329,48;329,39;329,46;1187;0
Сбербанк;1;01.09.2021;10:49:00;329,48;329,48;329,32;329,43;911;0
Сбербанк;1;01.09.2021;10:50:00;329,43;329,62;329,39;329,58;2276;0
Сбербанк;1;01.09.2021;10:51:00;329,55;329,6;329,54;329,58;286;0
Сбербанк;1;01.09.2021;10:52:00;329,59;329,69;329,58;329,64;1477;0
Сбербанк;1;01.09.2021;10:53:00;329,66;329,66;329,62;329,64;345;0
Сбербанк;1;01.09.2021;10:54:00;329,65;329,66;329,6;329,63;1009;0
Сбербанк;1;01.09.2021;10:55:00;329,6;329,63;329,5;329,63;3426;0
Сбербанк;1;01.09.2021;10:56:00;329,62;329,63;329,5;329,61;4390;0
Сбербанк;1;01.09.2021;10:57:00;329,54;329,6;329,36;329,56;2559;0
Сбербанк;1;01.09.2021;10:58:00;329,56;329,56;329,33;329,41;555;0
Сбербанк;1;01.09.2021;10:59:00;329,41;329,6;329,41;329,41;3497;0
Сбербанк;1;01.09.2021;11:00:00;329,51;329,6;329,44;329,57;637;0
Сбербанк;1;01.09.2021;11:01:00;329,6;329,75;329,47;329,74;7987;0
Сбербанк;1;01.09.2021;11:02:00;329,75;329,75;329,62;329,62;1147;0
