<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ГАЗПРОМ ао;D;17/06/21;000000;272.5;43674630
ГАЗПРОМ ао;D;18/06/21;000000;270.06;52728780
ГАЗПРОМ ао;D;21/06/21;000000;272.62;27454560
ГАЗПРОМ ао;D;22/06/21;000000;277;36984070
ГАЗПРОМ ао;D;23/06/21;000000;277.35;33618550
ГАЗПРОМ ао;D;24/06/21;000000;277.47;42585400
ГАЗПРОМ ао;D;25/06/21;000000;277.19;29722970
ГАЗПРОМ ао;D;28/06/21;000000;276.99;28099160
ГАЗПРОМ ао;D;29/06/21;000000;276.8;37633800
ГАЗПРОМ ао;D;30/06/21;000000;281.8;60396020
ГАЗПРОМ ао;D;01/07/21;000000;285.74;50115210
ГМКНорНик;D;30/06/20;000000;18784;454814
ГМКНорНик;D;02/07/20;000000;18754;370186
ГМКНорНик;D;03/07/20;000000;19000;238636
ГМКНорНик;D;06/07/20;000000;18260;872985
ГМКНорНик;D;07/07/20;000000;18574;526365
ГМКНорНик;D;08/07/20;000000;18970;350906
ГМКНорНик;D;09/07/20;000000;18596;417504
ГМКНорНик;D;10/07/20;000000;18550;234251
ГМКНорНик;D;13/07/20;000000;17946;508191
ГМКНорНик;D;14/07/20;000000;17826;545214
ГМКНорНик;D;15/07/20;000000;17978;344271
ГМКНорНик;D;16/07/20;000000;18112;255040
ГМКНорНик;D;17/07/20;000000;18350;196249
ГМКНорНик;D;20/07/20;000000;18394;227940
ГМКНорНик;D;21/07/20;000000;18380;358249
ГМКНорНик;D;22/07/20;000000;18234;283860
ГМКНорНик;D;23/07/20;000000;18724;468996
ГМКНорНик;D;24/07/20;000000;19060;360960
ГМКНорНик;D;27/07/20;000000;19790;421498
ГМКНорНик;D;28/07/20;000000;19618;257074
ГМКНорНик;D;29/07/20;000000;19808;310938
ГМКНорНик;D;30/07/20;000000;19620;261390
ГМКНорНик;D;31/07/20;000000;19650;202215
ГМКНорНик;D;03/08/20;000000;20018;284199
