<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Аэрофлот;W;11/04/16;000000;78;28445500
Аэрофлот;W;18/04/16;000000;78,21;25780100
Аэрофлот;W;25/04/16;000000;77,48;19445600
Аэрофлот;W;02/05/16;000000;78,5;10114500
Аэрофлот;W;09/05/16;000000;80,51;16887000
Аэрофлот;W;16/05/16;000000;78,8;16464500
Аэрофлот;W;23/05/16;000000;81;16389800
Аэрофлот;W;30/05/16;000000;88,2;19527500
Аэрофлот;W;06/06/16;000000;83,92;18034900
Аэрофлот;W;13/06/16;000000;84,7;12422300
Аэрофлот;W;20/06/16;000000;83,42;13119400
Аэрофлот;W;27/06/16;000000;86,01;14976400
Аэрофлот;W;04/07/16;000000;89;8946100
Аэрофлот;W;11/07/16;000000;87,18;14847100
Аэрофлот;W;18/07/16;000000;86,88;14440700
Аэрофлот;W;25/07/16;000000;85,7;16206300
Аэрофлот;W;01/08/16;000000;87;7992400
Аэрофлот;W;08/08/16;000000;85,79;8617300
Аэрофлот;W;15/08/16;000000;83,25;10143200
Аэрофлот;W;22/08/16;000000;94;20837100
Аэрофлот;W;29/08/16;000000;101,95;29136900
Аэрофлот;W;05/09/16;000000;103,8;16879400
Аэрофлот;W;12/09/16;000000;104,2;8870200
Аэрофлот;W;19/09/16;000000;114,25;19999800
Аэрофлот;W;26/09/16;000000;116,93;26043800
Аэрофлот;W;03/10/16;000000;118,77;20452800
Аэрофлот;W;10/10/16;000000;116;23987000
Аэрофлот;W;17/10/16;000000;126,69;20835600
Аэрофлот;W;24/10/16;000000;129,19;19742300
Аэрофлот;W;31/10/16;000000;130,85;22338000
Аэрофлот;W;07/11/16;000000;129,6;24252300
Аэрофлот;W;14/11/16;000000;129,91;10442300
Аэрофлот;W;21/11/16;000000;130;12561500
Аэрофлот;W;28/11/16;000000;135,9;33075800
Аэрофлот;W;05/12/16;000000;147,68;26737300
Аэрофлот;W;12/12/16;000000;149,8;31183900
Аэрофлот;W;19/12/16;000000;153,3;19735600
Аэрофлот;W;26/12/16;000000;152,85;8992600
Аэрофлот;W;02/01/17;000000;146,31;13453400
Аэрофлот;W;09/01/17;000000;156,9;30270300
Аэрофлот;W;16/01/17;000000;160,5;21134500
Аэрофлот;W;23/01/17;000000;168,5;16426100
Аэрофлот;W;30/01/17;000000;178,5;18426700
Аэрофлот;W;06/02/17;000000;179,5;19525300
Аэрофлот;W;13/02/17;000000;173,1;13702400
Аэрофлот;W;20/02/17;000000;167;7274200
Аэрофлот;W;27/02/17;000000;168,85;29904400
Аэрофлот;W;06/03/17;000000;149,2;19124800
Аэрофлот;W;13/03/17;000000;161,55;21601600
Аэрофлот;W;20/03/17;000000;167,6;12538500
Аэрофлот;W;27/03/17;000000;168;9646700
Аэрофлот;W;03/04/17;000000;171,9;13870000
Аэрофлот;W;10/04/17;000000;161,75;17794800
Аэрофлот;W;17/04/17;000000;167,35;10432300
Аэрофлот;W;24/04/17;000000;175,75;13692600
Аэрофлот;W;01/05/17;000000;187,6;15250200
Аэрофлот;W;08/05/17;000000;184,15;11883700
Аэрофлот;W;15/05/17;000000;189,1;17648300
